조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,주소대분류,프로모션여부,연령대,R,F,M,R_score,M_score,F_score,RFM_score,RFM_rank,주매장,이탈여부,최소재구매주기,재구매여부,5개월이내재구매
정상회원,여,43,미신청,미수신,normal,용인 수지구,0,40대,51,9,226351,3,1,2,2,포미방문자,매장C,정상,2,1,1
정상회원,여,46,미신청,수신,normal,성남 분당구,0,40대,143,1,2680,2,1,1,1.3,포미방문자,매장C,정상,0,0,0
정상회원,여,47,미신청,미수신,normal,용인 수지구,0,40대,138,1,3637,2,1,1,1.3,포미방문자,매장D,정상,0,0,0
정상회원,여,52,신청,미수신,normal,용인 수지구,0,50대,8,24,395136,5,2,3,3.3,포미패밀리,매장B,정상,2,1,1
정상회원,여,76,미신청,미수신,normal,용인 수지구,0,70대,28,34,451040,4,2,3,3,포미프렌즈,매장C,정상,1,1,1
정상회원,여,32,미신청,미수신,normal,용인 수지구,0,30대,22,20,243420,4,1,3,2.7,포미프렌즈,매장A,정상,2,1,1
정상회원,여,48,미신청,미수신,normal,용인 수지구,0,40대,12,20,245142,5,1,3,3,포미프렌즈,매장C,정상,1,1,1
정상회원,여,62,미신청,미수신,normal,용인 수지구,0,60대,3,26,249022,5,1,3,3,포미프렌즈,매장C,정상,1,1,1
정상회원,여,58,미신청,미수신,normal,용인 수지구,0,50대,144,5,97251,2,1,2,1.7,포미방문자,매장B,정상,3,1,1
정상회원,여,39,미신청,미수신,normal,용인 수지구,0,30대,5,8,124247,5,1,2,2.6,포미프렌즈,매장B,정상,3,1,1
정상회원,여,40,미신청,미수신,normal,용인 수지구,0,40대,12,8,253659,5,1,2,2.6,포미초대손님,매장C,정상,2,1,1
정상회원,여,49,미신청,미수신,normal,기타,0,40대,268,1,65473,1,1,1,1,포미방문자,매장B,잠재이탈,0,0,0
정상회원,남,34,미신청,미수신,normal,용인 수지구,0,30대,71,5,116396,3,1,2,2,포미초대손님,매장C,정상,4,1,1
정상회원,남,43,미신청,미수신,normal,용인 수지구,1,40대,7,16,91410,5,1,2,2.6,포미프렌즈,매장C,정상,2,1,1
정상회원,여,54,미신청,미수신,normal,용인 수지구,0,50대,1,13,318177,5,2,2,2.9,포미프렌즈,매장A,정상,3,1,1
정상회원,여,87,미신청,미수신,normal,용인 기흥구,0,80대,45,3,201110,4,1,2,2.3,포미초대손님,매장A,정상,91,0,0
정상회원,여,44,미신청,미수신,normal,용인 수지구,0,40대,15,7,78202,4,1,2,2.3,포미초대손님,매장B,정상,1,1,1
정상회원,여,46,미신청,미수신,normal,용인 기흥구,0,40대,69,1,10146,3,1,1,1.6,포미방문자,매장D,정상,0,0,0
정상회원,여,56,미신청,미수신,normal,성남 분당구,0,50대,25,2,18666,4,1,2,2.3,포미초대손님,매장C,정상,214,0,0
정상회원,여,41,신청,미수신,normal,용인 수지구,1,40대,3,25,573650,5,2,3,3.3,포미프렌즈,매장D,정상,3,1,1
정상회원,여,75,미신청,미수신,normal,용인 수지구,0,70대,40,6,91127,4,1,2,2.3,포미초대손님,매장D,정상,5,1,1
